PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,AVG_SPEED,DIST_MILES,AVG_SPEED_OFF,AVG_SPEED_DEF,STL,BLK,DRIVE_PTS,CATCH_SHOOT_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,SEASON_LABEL
202091,Dionte Christmas,PHX,31,198.0,2.36,1.45,291,5,1,19,4.43,14.6,4.76,4.17,2,3,8,35,4,10,2013-14
1717,Dirk Nowitzki,DAL,80,2628.0,1.83,0.49,4990,223,798,93,3.8,166.0,4.02,3.59,73,45,62,796,413,91,2013-14
202388,Donald Sloan,IND,48,392.0,5.99,6.36,805,6,2,12,4.29,28.0,4.51,4.05,10,1,33,26,24,11,2013-14
202700,Donatas Motiejunas,HOU,62,952.0,1.36,0.45,1590,94,88,175,4.51,71.4,4.84,4.21,20,21,23,75,4,119,2013-14
2748,Dorell Wright,POR,68,984.0,2.09,1.11,1385,20,6,33,4.29,70.3,4.54,4.02,23,16,30,197,38,15,2013-14
203117,Doron Lamb,ORL,53,695.0,2.25,1.35,766,14,0,11,4.22,48.8,4.48,3.96,11,1,24,98,40,0,2013-14
203110,Draymond Green,GSW,81,1775.0,1.95,0.9,2955,92,78,190,4.14,121.8,4.47,3.83,101,72,50,188,39,125,2013-14
2400,Drew Gooden,WAS,21,377.0,1.78,0.5,669,56,27,62,4.14,25.8,4.38,3.9,10,5,16,72,9,54,2013-14
202779,Dwight Buycks,TOR,14,146.0,5.23,5.75,299,1,2,4,4.37,10.6,4.69,4.02,8,0,9,15,6,3,2013-14
2730,Dwight Howard,HOU,71,2396.0,2.02,0.73,4206,187,1028,703,3.87,154.3,4.18,3.58,60,128,23,14,0,638,2013-14
2548,Dwyane Wade,MIA,54,1775.0,3.74,3.09,3229,75,174,216,4.1,121.1,4.38,3.84,79,29,253,57,234,193,2013-14
202734,E'Twaun Moore,ORL,79,1506.0,3.39,3.18,1914,23,3,42,4.34,108.4,4.59,4.09,60,13,114,151,117,27,2013-14
201947,Earl Clark,NYK,54,768.0,1.83,0.92,1063,20,16,33,4.47,57.0,4.8,4.12,17,25,50,146,27,12,2013-14
2248,Earl Watson,POR,24,161.0,5.3,4.95,351,5,0,4,4.34,11.6,4.31,4.37,5,1,4,6,0,0,2013-14
202334,Ed Davis,MEM,63,956.0,1.63,0.45,1404,168,52,297,4.32,68.7,4.47,4.17,17,43,5,50,8,237,2013-14
202327,Ekpe Udoh,MIL,42,804.0,1.66,0.46,1102,113,60,112,4.03,53.9,4.21,3.84,15,44,7,20,16,56,2013-14
203548,Elias Harris,LAL,2,11.0,1.41,0.25,12,0,2,3,4.23,0.8,4.76,3.8,1,0,0,0,0,0,2013-14
202343,Elliot Williams,PHI,67,1157.0,2.6,1.67,1438,24,2,60,4.39,84.7,4.51,4.29,35,3,87,97,44,51,2013-14
1882,Elton Brand,ATL,72,1392.0,1.5,0.44,2320,296,120,263,3.96,91.7,4.16,3.76,40,84,36,158,22,155,2013-14
202683,Enes Freedom,UTA,80,2138.0,1.96,0.58,3224,289,543,491,4.08,144.9,4.21,3.94,28,42,38,184,36,430,2013-14
202339,Eric Bledsoe,PHX,43,1416.0,5.33,5.08,3061,41,23,64,4.11,96.5,4.38,3.84,69,14,254,75,203,43,2013-14
201569,Eric Gordon,NOP,64,2057.0,3.19,2.56,2644,93,41,56,4.15,142.1,4.6,3.72,74,12,257,260,176,28,2013-14
201953,Eric Maynor,PHI,31,327.0,4.6,3.92,860,1,1,5,4.37,23.7,4.61,4.12,9,3,17,36,20,2,2013-14
203513,Erik Murphy,CHI,24,62.0,1.35,0.3,122,9,3,9,4.45,4.6,4.61,4.26,0,4,0,0,0,6,2013-14
101141,Ersan Ilyasova,MIL,54,1455.0,1.49,0.47,2817,145,72,241,4.07,98.5,4.41,3.72,46,7,44,234,47,199,2013-14
203095,Evan Fournier,DEN,76,1504.0,3.11,2.5,2197,40,13,80,4.44,111.2,4.88,4.05,34,7,165,229,90,37,2013-14
202323,Evan Turner,IND,81,2457.0,3.18,2.41,4265,127,44,122,4.2,171.4,4.57,3.86,67,7,395,210,272,95,2013-14
101128,Francisco Garcia,HOU,55,1083.0,1.97,1.11,1303,11,2,23,4.12,74.0,4.28,3.97,27,33,52,203,26,18,2013-14
203539,Gal Mekel,DAL,31,292.0,5.06,5.35,731,5,3,9,4.54,22.1,5.12,3.9,4,1,28,17,14,4,2013-14
202066,Garrett Temple,WAS,74,638.0,3.93,3.48,1388,12,0,16,4.48,47.6,4.8,4.15,35,11,21,19,41,4,2013-14
202390,Gary Neal,CHA,51,1088.0,2.83,1.89,1774,33,1,12,4.15,74.9,4.6,3.69,17,0,128,165,203,1,2013-14
201588,George Hill,IND,76,2434.0,4.99,4.87,5293,39,41,86,4.11,166.5,4.32,3.9,75,23,169,250,141,87,2013-14
101123,Gerald Green,PHX,82,2330.0,2.73,1.65,3094,76,72,80,4.23,163.5,4.45,4.01,70,42,166,522,336,58,2013-14
201945,Gerald Henderson,CHA,76,2434.0,2.36,1.2,4091,132,163,124,4.45,180.2,4.86,4.02,51,30,208,212,332,100,2013-14
2222,Gerald Wallace,BOS,58,1416.0,2.38,1.28,2163,25,112,101,4.05,95.4,4.25,3.84,73,14,40,66,3,92,2013-14
203507,Giannis Antetokounmpo,MIL,76,1880.0,2.27,1.31,3261,74,36,180,4.44,138.7,4.84,4.02,59,61,95,100,47,139,2013-14
203540,Gigi Datome,DET,34,238.0,1.62,0.72,339,6,7,17,4.21,16.8,4.56,3.84,6,1,4,35,18,14,2013-14
201175,Glen Davis,LAC,68,1662.0,1.77,0.51,2534,177,250,251,3.92,108.3,4.05,3.78,58,29,38,221,43,185,2013-14
203318,Glen Rice,WAS,11,109.0,2.18,1.34,193,6,2,3,4.52,8.2,4.73,4.29,6,1,6,12,3,2,2013-14
