PLAYER_ID,PLAYER_NAME,SEASON_LABEL,OFF_SPEED,DEF_SPEED,TIME_PER_TOUCH,DRIBBLES_PER_TOUCH,PTS_PER_TOUCH,DRIVE_PCT,CATCH_SHOOT_PCT,PULL_UP_PCT,PAINT_TOUCH_PCT,ARCHETYPE_ID,ARCHETYPE_CONFIDENCE
203187,Chris Johnson,2013-14,5.08,4.27,1.68,0.87,0.2259825327510917,0.0821256038647343,0.6038647342995169,0.0772946859903381,0.2367149758454106,3,0.5539423437597985
2549,Chris Kaman,2013-14,4.5,3.97,1.78,0.61,0.2286644951140065,0.0826210826210826,0.2905982905982906,0.1196581196581196,0.5071225071225072,4,0.9673764596743809
101108,Chris Paul,2013-14,4.52,3.62,5.03,4.63,0.1720375965088956,0.3560975609756097,0.1336585365853658,0.4829268292682926,0.0273170731707317,1,0.8757535342184689
202698,Chris Singleton,2013-14,4.53,4.08,1.82,0.78,0.1632124352331606,0.1746031746031746,0.365079365079365,0.1904761904761904,0.2698412698412698,5,0.8790499265364794
101236,Chuck Hayes,2013-14,4.11,3.81,1.59,0.35,0.0907390084190832,0.0618556701030927,0.0412371134020618,0.0,0.8969072164948454,2,0.809754467657351
203469,Cody Zeller,2013-14,5.13,4.03,1.49,0.41,0.1116322701688555,0.3081232492997199,0.1456582633053221,0.1008403361344537,0.4453781512605042,3,0.9721543331741286
201147,Corey Brewer,2013-14,4.23,4.1,1.84,0.96,0.1680353758686039,0.2631578947368421,0.3684210526315789,0.093984962406015,0.2744360902255639,3,0.8613924180061011
202709,Cory Joseph,2013-14,5.03,4.41,3.75,3.83,0.144912641315519,0.3936170212765957,0.1950354609929078,0.25177304964539,0.1595744680851064,1,0.619730983241399
201584,Courtney Lee,2013-14,4.49,4.06,2.65,1.85,0.2347729789590254,0.2044025157232704,0.4040880503144654,0.3254716981132075,0.0660377358490566,7,0.49366855558127853
201571,D.J. Augustin,2013-14,4.63,3.91,5.61,6.17,0.1474006116207951,0.243430152143845,0.3112033195020747,0.4190871369294606,0.0262793914246196,9,0.8556843766411121
203081,Damian Lillard,2013-14,4.66,3.89,5.31,5.23,0.2058398381034981,0.3448033707865168,0.2675561797752809,0.3546348314606741,0.033005617977528,9,0.5634491391281667
