PLAYER_ID,PLAYER_NAME,SEASON_LABEL,GP,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,FG_PCT,FG3_PCT,FT_PCT,3P_RATE,FT_RATE,TS_PCT,AST_TOV
1628384,OG Anunoby,2024-25,74,36.567567567567565,18.0,4.837837837837838,2.2162162162162162,1.4864864864864864,0.8783783783783784,1.3783783783783783,2.324324324324324,489,1027,171,460,183,226,97,261,0.4761441090555015,0.3717391304347826,0.8097345132743363,0.44790652385589097,0.22005842259006816,0.00798977309044423,1.607843137254902
1628385,Harry Giles III,2018-19,58,14.155172413793103,7.0344827586206895,3.8275862068965516,1.4655172413793103,0.5344827586206896,0.3793103448275862,1.2586206896551724,2.586206896551724,175,348,0,6,58,91,66,156,0.5028735632183908,0.0,0.6373626373626373,0.017241379310344827,0.2614942528735632,0.00906412065588688,1.1643835616438356
1628385,Harry Giles III,2019-20,46,14.543478260869565,6.869565217391305,4.086956521739131,1.3043478260869565,0.4782608695652174,0.391304347826087,0.9565217391304348,2.5869565217391304,139,251,0,2,38,49,43,145,0.5537848605577689,0.0,0.7755102040816326,0.00796812749003984,0.1952191235059761,0.012601932083561976,1.3636363636363635
1628385,Harry Giles III,2020-21,38,9.105263157894736,2.8421052631578947,3.5,0.7631578947368421,0.21052631578947367,0.34210526315789475,0.5263157894736842,1.4210526315789473,42,97,8,23,16,27,31,102,0.4329896907216495,0.34782608695652173,0.5925925925925926,0.23711340206185566,0.27835051546391754,0.01305154878378901,1.4500000000000002
1628385,Harry Giles III,2023-24,23,4.304347826086956,2.4347826086956523,1.3043478260869565,0.2608695652173913,0.08695652173913043,0.13043478260869565,0.2608695652173913,0.6521739130434783,23,50,3,14,7,13,12,18,0.46,0.21428571428571427,0.5384615384615384,0.28,0.26,0.02184837229626393,1.0
1628386,Jarrett Allen,2017-18,72,19.958333333333332,8.152777777777779,5.388888888888889,0.6805555555555556,0.3888888888888889,1.2222222222222223,1.1388888888888888,2.0416666666666665,234,397,5,15,114,147,144,244,0.5894206549118388,0.3333333333333333,0.7755102040816326,0.037783375314861464,0.3702770780856423,0.008829468222337744,0.5975609756097562
1628386,Jarrett Allen,2018-19,80,26.1875,10.9125,8.4,1.375,0.5375,1.5,1.2875,2.3,335,568,6,45,197,278,191,481,0.5897887323943662,0.13333333333333333,0.7086330935251799,0.07922535211267606,0.4894366197183099,0.007903943098852706,1.0679611650485437
1628386,Jarrett Allen,2019-20,70,26.5,11.071428571428571,9.585714285714285,1.5714285714285714,0.5714285714285714,1.3142857142857143,1.1,2.3142857142857145,302,465,0,6,171,270,216,455,0.6494623655913978,0.0,0.6333333333333333,0.012903225806451613,0.5806451612903226,0.00948221015024715,1.4285714285714284
1628386,Jarrett Allen,2020-21,63,29.58730158730159,12.793650793650794,10.015873015873016,1.6825396825396826,0.5079365079365079,1.4285714285714286,1.5873015873015872,1.5238095238095237,298,482,6,19,204,290,196,435,0.6182572614107884,0.3157894736842105,0.7034482758620689,0.03941908713692946,0.6016597510373444,0.010493479981668958,1.06
1628386,Jarrett Allen,2021-22,56,32.30357142857143,16.142857142857142,10.75,1.6428571428571428,0.7857142857142857,1.3392857142857142,1.6785714285714286,1.7321428571428572,369,545,1,10,165,233,192,410,0.6770642201834862,0.1,0.7081545064377682,0.01834862385321101,0.42752293577981654,0.012465141727558332,0.9787234042553191
